# ax-frames pid=36526 nodes=72
id=pawork-root role=AXGroup x=1000.0 y=208.0 w=1440.0 h=1024.0
id=task-rail role=AXGroup x=1000.0 y=208.0 w=288.0 h=1000.0
id=workspace role=AXGroup x=1288.0 y=208.0 w=1152.0 h=1000.0
id=status-bar role=AXGroup x=1288.0 y=1208.0 w=1152.0 h=24.0
id=task-rail-grouping role=AXButton x=1252.0 y=252.0 w=28.0 h=22.0
id=project-scope role=AXButton x=1008.0 y=282.0 w=272.0 h=28.0
id=connection-status role=AXStaticText x=1008.0 y=318.0 w=236.0 h=28.0
id=add-task role=AXButton x=1258.0 y=318.0 w=22.0 h=22.0
id=session-list role=AXList x=1008.0 y=354.0 w=272.0 h=826.0
id=timeline role=AXList x=1288.0 y=208.0 w=1152.0 h=844.0
id=composer role=AXGroup x=1288.0 y=1052.0 w=1152.0 h=156.0
id=run-status role=AXStaticText x=1704.0 y=1208.0 w=320.0 h=24.0
id=inspector-toggle role=AXButton x=2320.0 y=1208.0 w=112.0 h=24.0
id=activity-popover role=AXGroup x=2112.0 y=1112.0 w=320.0 h=96.0
id=date-group-Earlier role=AXStaticText x=1008.0 y=354.0 w=272.0 h=28.0
id=project-Earlier_3afx-alpha-app role=AXButton x=1008.0 y=382.0 w=272.0 h=32.0
id=project-add-Earlier_3afx-alpha-app role=AXButton x=1262.0 y=382.0 w=18.0 h=18.0
id=session-fx-ses-alpha-today role=AXRow x=1020.0 y=414.0 w=260.0 h=32.0
id=session-fx-ses-alpha-yesterday role=AXRow x=1020.0 y=446.0 w=260.0 h=32.0
id=session-fx-ses-alpha-longtitle role=AXRow x=1020.0 y=478.0 w=260.0 h=32.0
id=project-Earlier_3afx-beta-lib role=AXButton x=1008.0 y=510.0 w=272.0 h=32.0
id=project-add-Earlier_3afx-beta-lib role=AXButton x=1262.0 y=510.0 w=18.0 h=18.0
id=session-fx-ses-beta-pending role=AXRow x=1020.0 y=542.0 w=260.0 h=32.0
id=session-fx-ses-beta-toolfailed role=AXRow x=1020.0 y=574.0 w=260.0 h=32.0
id=session-fx-ses-beta-long role=AXRow x=1020.0 y=606.0 w=260.0 h=32.0
id=session-fx-ses-beta-cancelled role=AXRow x=1020.0 y=638.0 w=260.0 h=32.0
id=timeline-entry-evt-fx-ses-alpha-today-25 role=AXRow x=1296.0 y=216.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-27 role=AXRow x=1296.0 y=268.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-28 role=AXRow x=1296.0 y=320.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-34 role=AXRow x=1296.0 y=372.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-36 role=AXRow x=1296.0 y=424.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-37 role=AXRow x=1296.0 y=476.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-43 role=AXRow x=1296.0 y=528.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-45 role=AXRow x=1296.0 y=580.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-46 role=AXRow x=1296.0 y=632.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-51 role=AXRow x=1296.0 y=684.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-53 role=AXRow x=1296.0 y=736.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-54 role=AXRow x=1296.0 y=788.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-60 role=AXRow x=1296.0 y=840.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-61 role=AXRow x=1296.0 y=892.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-62 role=AXRow x=1296.0 y=944.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-69 role=AXRow x=1296.0 y=996.0 w=1136.0 h=52.0
id=timeline-entry-evt-fx-ses-alpha-today-70 role=AXRow x=1296.0 y=1048.0 w=1136.0 h=52.0
id=model-picker role=AXButton x=1296.0 y=1060.0 w=220.0 h=28.0
id=composer-input role=AXTextArea x=1296.0 y=1096.0 w=976.0 h=104.0
id=cancel role=AXButton x=2280.0 y=1096.0 w=72.0 h=28.0
id=send role=AXButton x=2360.0 y=1096.0 w=72.0 h=28.0
id=activity-open-changes role=AXButton x=2112.0 y=1112.0 w=320.0 h=32.0
id=entry-menu-evt-fx-ses-alpha-today-25 role=AXButton x=2400.0 y=216.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-27 role=AXButton x=2400.0 y=268.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-28 role=AXButton x=2400.0 y=320.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-34 role=AXButton x=2400.0 y=372.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-36 role=AXButton x=2400.0 y=424.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-37 role=AXButton x=2400.0 y=476.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-43 role=AXButton x=2400.0 y=528.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-45 role=AXButton x=2400.0 y=580.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-46 role=AXButton x=2400.0 y=632.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-51 role=AXButton x=2400.0 y=684.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-53 role=AXButton x=2400.0 y=736.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-54 role=AXButton x=2400.0 y=788.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-60 role=AXButton x=2400.0 y=840.0 w=32.0 h=28.0
id=entry-menu-evt-fx-ses-alpha-today-61 role=AXButton x=2400.0 y=892.0 w=32.0 h=28.0
