# place-main result=0 display=1 target={1000.0,208.0} actual={1000.0,208.0}
# ax-frames pid=40323 nodes=46
id=pawork-root role=AXGroup x=1000.0 y=208.0 w=1440.0 h=1024.0
id=task-rail role=AXGroup x=1000.0 y=208.0 w=288.0 h=1000.0
id=workspace role=AXGroup x=1288.0 y=208.0 w=712.0 h=1000.0
id=inspector role=AXGroup x=2000.0 y=208.0 w=440.0 h=1000.0
id=status-bar role=AXGroup x=1288.0 y=1208.0 w=1152.0 h=24.0
id=task-rail-grouping role=AXButton x=1252.0 y=252.0 w=28.0 h=22.0
id=project-scope role=AXButton x=1008.0 y=282.0 w=272.0 h=28.0
id=connection-status role=AXStaticText x=1008.0 y=318.0 w=236.0 h=28.0
id=add-task role=AXButton x=1258.0 y=318.0 w=22.0 h=22.0
id=session-list role=AXList x=1008.0 y=354.0 w=272.0 h=826.0
id=timeline role=AXList x=1288.0 y=208.0 w=712.0 h=844.0
id=composer role=AXGroup x=1288.0 y=1052.0 w=712.0 h=156.0
id=inspector-tabs role=AXTabGroup x=2008.0 y=208.0 w=392.0 h=36.0
id=inspector-collapse role=AXButton x=2400.0 y=212.0 w=32.0 h=28.0
id=terminal role=AXGroup x=2000.0 y=244.0 w=440.0 h=964.0
id=run-status role=AXStaticText x=1704.0 y=1208.0 w=320.0 h=24.0
id=date-group-Earlier role=AXStaticText x=1008.0 y=354.0 w=272.0 h=28.0
id=project-Earlier_3afx-alpha-app role=AXButton x=1008.0 y=382.0 w=272.0 h=32.0
id=project-add-Earlier_3afx-alpha-app role=AXButton x=1262.0 y=382.0 w=18.0 h=18.0
id=session-fx-ses-alpha-today role=AXRow x=1020.0 y=414.0 w=260.0 h=32.0
id=session-fx-ses-alpha-yesterday role=AXRow x=1020.0 y=446.0 w=260.0 h=32.0
id=session-fx-ses-alpha-longtitle role=AXRow x=1020.0 y=478.0 w=260.0 h=32.0
id=project-Earlier_3afx-beta-lib role=AXButton x=1008.0 y=510.0 w=272.0 h=32.0
id=project-add-Earlier_3afx-beta-lib role=AXButton x=1262.0 y=510.0 w=18.0 h=18.0
id=session-fx-ses-beta-pending role=AXRow x=1020.0 y=542.0 w=260.0 h=32.0
id=session-fx-ses-beta-toolfailed role=AXRow x=1020.0 y=574.0 w=260.0 h=32.0
id=session-fx-ses-beta-long role=AXRow x=1020.0 y=606.0 w=260.0 h=32.0
id=session-fx-ses-beta-cancelled role=AXRow x=1020.0 y=638.0 w=260.0 h=32.0
id=workspace-empty-hint role=AXStaticText x=1288.0 y=614.0 w=712.0 h=32.0
id=model-picker role=AXButton x=1296.0 y=1060.0 w=220.0 h=28.0
id=composer-input role=AXTextArea x=1296.0 y=1096.0 w=536.0 h=104.0
id=cancel role=AXButton x=1840.0 y=1096.0 w=72.0 h=28.0
id=send role=AXButton x=1920.0 y=1096.0 w=72.0 h=28.0
id=inspector-tab-changes role=AXRadioButton x=2008.0 y=212.0 w=92.0 h=28.0
id=inspector-tab-terminal role=AXRadioButton x=2100.0 y=212.0 w=92.0 h=28.0
id=inspector-tab-resources role=AXRadioButton x=2192.0 y=212.0 w=92.0 h=28.0
id=terminal-output role=AXStaticText x=2008.0 y=272.0 w=424.0 h=880.0
id=terminal-input role=AXTextArea x=2008.0 y=1160.0 w=344.0 h=40.0
id=terminal-start role=AXButton x=2360.0 y=1160.0 w=72.0 h=40.0
