2026-08-29T12:45:13Z compile helpers into /tmp/pawork-r7a-states.apUBMs
2026-08-29T12:45:16Z build Desktop once
2026-08-29T12:45:18Z seed fixture root=/private/tmp/pawork-ui-fixture.Wno58G
2026-08-29T12:45:21Z serve fixture (wait host_ready barrier)
2026-08-29T12:45:23Z launch desktop via ui-fixture
2026-08-29T12:45:24Z probe not-ready rc=0 attempt=1 windows=1
2026-08-29T12:45:30Z probe not-ready rc=0 attempt=11 windows=1
2026-08-29T12:45:35Z probe not-ready rc=0 attempt=21 windows=1
2026-08-29T12:45:41Z probe not-ready rc=0 attempt=31 windows=1
2026-08-29T12:45:46Z probe not-ready rc=0 attempt=41 windows=1
2026-08-29T12:45:52Z probe not-ready rc=0 attempt=51 windows=1
2026-08-29T12:46:01Z probe not-ready rc=0 attempt=61 windows=1
2026-08-29T12:46:12Z probe not-ready rc=0 attempt=71 windows=1
2026-08-29T12:46:24Z probe not-ready rc=0 attempt=81 windows=1
2026-08-29T12:46:35Z probe not-ready rc=0 attempt=91 windows=1
2026-08-29T12:46:47Z probe not-ready rc=0 attempt=101 windows=1
2026-08-29T12:46:58Z probe not-ready rc=0 attempt=111 windows=1
2026-08-29T12:47:10Z probe not-ready rc=0 attempt=121 windows=1
2026-08-29T12:47:21Z probe not-ready rc=0 attempt=131 windows=1
