# ax-frames pid=63816 nodes=129
id=pawork-root role=AXGroup x=1117.0 y=157.0 w=1440.0 h=1024.0
id=task-rail role=AXGroup x=1117.0 y=157.0 w=288.0 h=1000.0
id=workspace role=AXGroup x=1405.0 y=157.0 w=712.0 h=1000.0
id=inspector role=AXGroup x=2117.0 y=157.0 w=440.0 h=1000.0
id=status-bar role=AXGroup x=1405.0 y=1157.0 w=1152.0 h=24.0
id=task-rail-grouping role=AXButton x=1357.0 y=213.0 w=28.0 h=28.0
id=project-scope role=AXButton x=1137.0 y=255.0 w=248.0 h=36.0
id=connection-status role=AXStaticText x=1137.0 y=303.0 w=212.0 h=36.0
id=add-task role=AXButton x=1357.0 y=307.0 w=28.0 h=28.0
id=session-list role=AXList x=1137.0 y=357.0 w=248.0 h=772.0
id=workspace-header role=AXGroup x=1405.0 y=157.0 w=712.0 h=104.0
id=timeline role=AXList x=1405.0 y=261.0 w=712.0 h=805.0
id=composer role=AXGroup x=1405.0 y=1066.0 w=712.0 h=91.0
id=inspector-tabs role=AXTabGroup x=2129.0 y=157.0 w=300.0 h=58.0
id=inspector-collapse role=AXButton x=2517.0 y=172.0 w=32.0 h=28.0
id=changes role=AXGroup x=2117.0 y=215.0 w=440.0 h=942.0
id=run-status role=AXStaticText x=1821.0 y=1157.0 w=320.0 h=24.0
id=_aboutThisMacRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_systemInformationRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_systemSettingsRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_appStoreRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentsRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_forceQuitPanelRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_forceQuitRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_sleepRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_restartRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_restartNowRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_shutDownRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_shutDownNowRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_lockScreenRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_logOutRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_logOutNowRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=date-group-Earlier role=AXStaticText x=1139.0 y=354.0 w=248.0 h=36.0
id=project-Earlier_3afx-alpha-app role=AXButton x=1139.0 y=392.0 w=248.0 h=44.0
id=project-add-Earlier_3afx-alpha-app role=AXButton x=1359.0 y=400.0 w=28.0 h=28.0
id=session-fx-ses-alpha-today role=AXRow x=1139.0 y=438.0 w=248.0 h=44.0
id=session-fx-ses-alpha-yesterday role=AXRow x=1139.0 y=482.0 w=248.0 h=44.0
id=session-fx-ses-alpha-longtitle role=AXRow x=1139.0 y=526.0 w=248.0 h=44.0
id=project-Earlier_3afx-beta-lib role=AXButton x=1139.0 y=578.0 w=248.0 h=44.0
id=project-add-Earlier_3afx-beta-lib role=AXButton x=1359.0 y=586.0 w=28.0 h=28.0
id=session-fx-ses-beta-pending role=AXRow x=1139.0 y=624.0 w=248.0 h=44.0
id=session-fx-ses-beta-toolfailed role=AXRow x=1139.0 y=668.0 w=248.0 h=44.0
id=session-fx-ses-beta-long role=AXRow x=1139.0 y=712.0 w=248.0 h=44.0
id=session-fx-ses-beta-cancelled role=AXRow x=1139.0 y=756.0 w=248.0 h=44.0
id=header-new-task role=AXButton x=2054.0 y=205.5 w=40.0 h=37.0
id=workspace-empty-hint role=AXStaticText x=1407.0 y=644.5 w=712.0 h=32.0
id=composer-input role=AXTextArea x=1415.0 y=1071.0 w=656.0 h=35.0
id=model-picker role=AXButton x=1415.0 y=1114.0 w=220.0 h=28.0
id=send role=AXButton x=2079.0 y=1114.0 w=32.0 h=32.0
id=inspector-tab-changes role=AXRadioButton x=2131.0 y=154.0 w=100.0 h=58.0
id=inspector-tab-terminal role=AXRadioButton x=2231.0 y=154.0 w=100.0 h=58.0
id=inspector-tab-resources role=AXRadioButton x=2331.0 y=154.0 w=100.0 h=58.0
id=changes-tabs role=AXTabGroup x=2131.0 y=212.0 w=192.0 h=56.0
id=changes-refresh role=AXButton x=2519.0 y=226.0 w=32.0 h=28.0
id=changes-file-list role=AXList x=2127.0 y=268.0 w=424.0 h=200.0
id=changes-diff-view role=AXGroup x=2127.0 y=468.0 w=424.0 h=686.0
id=changes-tab-files role=AXRadioButton x=2131.0 y=212.0 w=96.0 h=56.0
id=changes-tab-summary role=AXRadioButton x=2227.0 y=212.0 w=96.0 h=56.0
id=changes-file-docs_2freport.md role=AXRow x=2127.0 y=268.0 w=424.0 h=32.0
id=changes-file-legacy_2fold.txt role=AXRow x=2127.0 y=300.0 w=424.0 h=32.0
id=changes-file-src_2fmain.rs role=AXRow x=2127.0 y=332.0 w=424.0 h=32.0
id=changes-file-src_2fnew_5ffeature.rs role=AXRow x=2127.0 y=364.0 w=424.0 h=32.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_recentItemRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
id=_clearRecentItemsRequested: role=AXMenuItem x=0.0 y=1440.0 w=0.0 h=0.0
