desktop_ready	6833	launch-to-session-list
timeline_1024_load	1839	AXPress-to-timeline_stable
screenshot	122	wide-1k
timeline_scroll_up	1001	sentinel-visible-to-absent
timeline_scroll_bottom	187	sentinel-absent-to-visible
composer_input	242	AXSetValue-to-AXValue
resize_narrow	307	narrow-initial
screenshot	102	connected-1080x720
screenshot	112	text-zoom-150-1080x720
screenshot	116	popover-1080x720
resize_wide	278	wide-1
resize_narrow	341	narrow-1
resize_wide	273	wide-2
resize_narrow	262	narrow-2
resize_wide	261	wide-3
resize_narrow	313	narrow-3
screenshot	99	disconnected-1080x720
