# resize result=0 target={1080.0,720.0} actual={1080.0,720.0}
# ax-frames pid=40153 nodes=59
id=pawork-root role=AXGroup x=1000.0 y=208.0 w=1080.0 h=720.0
id=task-rail role=AXGroup x=1000.0 y=208.0 w=240.0 h=696.0
id=workspace role=AXGroup x=1240.0 y=208.0 w=840.0 h=696.0
id=status-bar role=AXGroup x=1240.0 y=904.0 w=840.0 h=24.0
id=task-rail-grouping role=AXButton x=1192.0 y=264.0 w=28.0 h=28.0
id=project-scope role=AXButton x=1020.0 y=306.0 w=200.0 h=36.0
id=connection-status role=AXStaticText x=1020.0 y=354.0 w=164.0 h=36.0
id=add-task role=AXButton x=1192.0 y=358.0 w=28.0 h=28.0
id=session-list role=AXList x=1020.0 y=408.0 w=200.0 h=468.0
id=workspace-header role=AXGroup x=1240.0 y=208.0 w=840.0 h=104.0
id=timeline role=AXList x=1240.0 y=312.0 w=840.0 h=501.0
id=composer role=AXGroup x=1240.0 y=813.0 w=840.0 h=91.0
id=run-status role=AXStaticText x=1500.0 y=904.0 w=320.0 h=24.0
id=date-group-Earlier role=AXStaticText x=1020.0 y=408.0 w=200.0 h=36.0
id=project-Earlier_3afx-alpha-app role=AXButton x=1020.0 y=446.0 w=200.0 h=44.0
id=project-add-Earlier_3afx-alpha-app role=AXButton x=1192.0 y=454.0 w=28.0 h=28.0
id=session-fx-ses-alpha-today role=AXRow x=1020.0 y=492.0 w=200.0 h=44.0
id=session-fx-ses-alpha-yesterday role=AXRow x=1020.0 y=536.0 w=200.0 h=44.0
id=session-fx-ses-alpha-longtitle role=AXRow x=1020.0 y=580.0 w=200.0 h=44.0
id=project-Earlier_3afx-beta-lib role=AXButton x=1020.0 y=632.0 w=200.0 h=44.0
id=project-add-Earlier_3afx-beta-lib role=AXButton x=1192.0 y=640.0 w=28.0 h=28.0
id=session-fx-ses-beta-pending role=AXRow x=1020.0 y=678.0 w=200.0 h=44.0
id=session-fx-ses-beta-toolfailed role=AXRow x=1020.0 y=722.0 w=200.0 h=44.0
id=session-fx-ses-beta-long role=AXRow x=1020.0 y=766.0 w=200.0 h=44.0
id=session-fx-ses-beta-cancelled role=AXRow x=1020.0 y=810.0 w=200.0 h=44.0
id=header-title role=AXStaticText x=1268.0 y=266.0 w=340.0 h=24.0
id=inspector-toggle role=AXButton x=2015.0 y=259.5 w=40.0 h=37.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1095 role=AXRow x=1248.0 y=320.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1096 role=AXRow x=1248.0 y=372.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1097 role=AXRow x=1248.0 y=424.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1098 role=AXRow x=1248.0 y=476.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1099 role=AXRow x=1248.0 y=528.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1100 role=AXRow x=1248.0 y=580.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1101 role=AXRow x=1248.0 y=632.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1102 role=AXRow x=1248.0 y=684.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1103 role=AXRow x=1248.0 y=736.0 w=824.0 h=52.0
id=timeline-entry-evt-r7c-fx-ses-beta-long-1104 role=AXRow x=1248.0 y=788.0 w=824.0 h=52.0
id=timeline-back-to-bottom role=AXButton x=1940.0 y=773.0 w=132.0 h=32.0
id=composer-input role=AXTextArea x=1248.0 y=821.0 w=784.0 h=35.0
id=model-picker role=AXButton x=1248.0 y=864.0 w=220.0 h=28.0
id=composer-status-hint role=AXStaticText x=1476.0 y=864.0 w=556.0 h=28.0
id=send role=AXButton x=2040.0 y=864.0 w=32.0 h=32.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1095 role=AXButton x=2040.0 y=320.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1096 role=AXButton x=2040.0 y=372.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1097 role=AXButton x=2040.0 y=424.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1098 role=AXButton x=2040.0 y=476.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1099 role=AXButton x=2040.0 y=528.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1100 role=AXButton x=2040.0 y=580.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1101 role=AXButton x=2040.0 y=632.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1102 role=AXButton x=2040.0 y=684.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1103 role=AXButton x=2040.0 y=736.0 w=32.0 h=28.0
id=entry-menu-evt-r7c-fx-ses-beta-long-1104 role=AXButton x=2040.0 y=788.0 w=32.0 h=28.0
